@relation test_machine10-18
@attribute 'x0' numeric
@attribute 'x1' numeric
@attribute 'x2' numeric
@attribute 'x3' numeric
@attribute 'x4' numeric
@attribute 'x5' numeric
@attribute 'Class' {'y0','y1','y2','y3','y4','y5','y6','y7','y8','y9'}
@data
1.06115,-0.71466,-0.96227,-0.62039,-0.54261,-0.66422,'y0'
3.44335,-0.60741,-0.87802,-0.62039,-0.54261,-0.66422,'y0'
2.29067,-0.67341,-0.32372,-0.62039,-0.54261,-0.54882,'y0'
3.44335,-0.54141,-0.83538,-0.62039,-0.54261,-0.66422,'y0'
2.29067,-0.67341,-0.32372,-0.62039,-0.54261,-0.54882,'y0'
-0.09153,-0.60741,-0.66483,-0.62039,-0.54261,-0.58729,'y0'
-0.56798,-0.48159,-0.66483,-0.62039,-0.54261,-0.47189,'y1'
2.32909,-0.60741,-0.96227,-0.42349,-0.54261,-0.66422,'y1'
2.29067,-0.67341,-0.32372,-0.62039,-0.54261,-0.54882,'y1'
0.48481,-0.48159,-0.66483,-0.62039,-0.24919,-0.47189,'y1'
2.6749,-0.48159,-0.66483,-0.42349,-0.54261,-0.62575,'y1'
1.90645,-0.67341,-0.83538,-0.62039,-0.54261,-0.66422,'y1'
-0.56798,-0.22378,-0.32372,-0.62039,-0.54261,-0.39496,'y2'
0.44638,-0.67341,-0.7501,-0.52194,-0.54261,-0.58729,'y2'
-0.2337,-0.60741,-0.57955,-0.62039,0.33764,0.52821,'y2'
-0.2068,-0.60741,-0.66483,-0.62039,0.48435,4.2209,'y2'
-0.2337,-0.48159,-0.83538,-0.62039,0.04422,-0.08724,'y2'
-0.59103,-0.06393,-0.11224,0.118,1.07118,0.22049,'y2'
0.75376,-0.22378,-0.66483,-0.62039,-0.54261,-0.66422,'y3'
-0.16838,-0.60741,-0.83538,-0.57117,-0.24919,-0.39496,'y3'
-0.2337,0.05982,-0.47722,-0.62039,0.04422,0.06662,'y3'
-0.59103,-0.48159,-0.32372,-0.42349,-0.24919,-0.51036,'y3'
-0.01469,-0.48159,-0.32372,-0.62039,-0.54261,-0.62575,'y3'
0.75376,-0.48159,-0.7501,-0.62039,-0.54261,-0.62575,'y3'
-0.16838,-0.48159,-0.66483,-0.42349,-0.54261,-0.16417,'y4'
0.75376,-0.60741,-0.70747,-0.52194,-0.54261,-0.47189,'y4'
-0.59103,-0.22378,0.35849,-0.42349,-0.24919,-0.51036,'y4'
-0.24522,-0.22378,-0.66483,-0.62039,-0.10248,-0.39496,'y4'
-0.3067,-0.48159,-0.32372,-0.62039,-0.54261,-0.39496,'y4'
-0.59103,-0.22378,-0.32372,-0.42349,-0.24919,-0.47189,'y4'
-0.30286,-0.22378,-0.32372,-0.62039,-0.3959,-0.16417,'y5'
-0.59103,-0.22378,-0.32372,-0.42349,-0.54261,-0.47189,'y5'
-0.3797,-0.22378,-0.32372,-0.22658,-0.10248,-0.16417,'y5'
-0.59103,-0.22378,0.35849,-0.42349,-0.24919,-0.47189,'y5'
-0.2337,-0.14643,-0.47722,-0.62039,0.19093,1.75911,'y5'
-0.42965,-0.22378,-0.32372,0.16723,-0.54261,-0.47189,'y5'
-0.49497,0.03404,-0.32372,-0.42349,-0.24919,1.14366,'y6'
-0.24522,-0.22378,-0.32372,0.16723,-0.54261,1.37445,'y6'
-0.49497,0.29185,0.35849,-0.22658,-0.54261,-0.47189,'y6'
0.06216,-0.48159,-0.32372,-0.22658,-0.54261,-0.62575,'y6'
-0.27212,-0.48159,0.01738,-0.39887,-0.24919,-0.2411,'y6'
-0.59103,-0.22378,0.35849,-0.02968,-0.54261,-0.47189,'y6'
-0.5065,-0.22378,-0.32372,-0.22658,0.19093,-0.39496,'y7'
-0.56798,0.61154,0.78231,0.118,1.07118,0.22049,'y7'
-0.59103,0.29185,0.35849,0.95485,0.04422,-0.31803,'y7'
-0.55645,0.29185,0.01738,0.16723,0.19093,-0.2411,'y7'
-0.36049,0.54967,-0.57955,2.87467,0.48435,1.75911,'y7'
-0.56413,0.29185,0.35849,-0.59578,0.19093,-0.2411,'y7'
-0.5065,0.29185,0.35849,0.95485,0.48435,-0.08724,'y8'
-0.49497,-0.22378,0.35849,0.95485,-0.54261,0.759,'y8'
-0.68324,1.32311,1.0407,0.16723,0.48435,-0.08724,'y8'
-0.24522,-0.22378,1.72291,0.16723,-0.54261,1.37445,'y8'
-0.53724,0.61154,0.78231,0.118,1.07118,0.22049,'y8'
-0.49497,-0.22378,0.35849,2.53009,-0.54261,0.759,'y8'
-0.59103,-0.22378,1.72291,2.13628,6.93949,3.29773,'y9'
-0.59103,0.29185,1.72291,2.13628,6.93949,3.29773,'y9'
-0.68324,3.38564,1.72291,0.95485,0.48435,0.22049,'y9'
-0.69477,3.38564,1.72291,0.95485,1.65801,0.52821,'y9'
-0.63714,3.38564,1.72291,2.53009,1.65801,0.52821,'y9'
