@relation ESL-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.supervised.instance.StratifiedRemoveFolds-S1338253436-N4-F1

@attribute in1 numeric
@attribute in2 numeric
@attribute in3 numeric
@attribute in4 numeric
@attribute out1 {1,2,3,4,5,6,7,8,9}

@data

3,3,4,4,3
4,4,5,5,3
4,3,4,5,3
3,3,4,5,3
4,4,3,3,3
4,2,4,5,3
4,3,3,3,3
6,3,4,5,3
4,3,3,4,3
3,3,5,4,3
4,3,5,6,4
6,5,4,4,4
5,4,4,4,4
4,3,5,6,4
3,4,4,5,4
6,6,4,4,4
8,4,5,5,4
4,4,4,5,4
4,4,4,5,4
5,4,4,5,4
4,3,5,5,4
4,3,4,5,4
3,4,5,6,4
5,4,4,6,4
5,4,4,5,4
4,2,5,6,4
2,2,4,6,4
4,4,5,6,4
3,2,5,6,4
3,4,4,5,4
5,5,5,3,4
4,3,4,5,4
7,7,6,4,4
0,0,2,5,4
5,3,5,6,4
2,1,3,4,2
2,1,2,4,2
5,3,2,2,2
4,4,6,6,5
5,5,5,5,5
6,5,5,5,5
5,5,5,5,5
6,5,5,5,5
5,5,6,5,5
6,6,5,5,5
6,4,5,6,5
6,5,5,5,5
5,3,6,6,5
6,5,5,5,5
7,7,7,6,5
5,4,4,5,5
6,6,6,6,5
7,6,5,5,5
6,6,5,5,5
5,5,5,6,5
7,6,5,5,5
4,4,6,6,5
5,5,5,5,5
5,4,5,6,5
5,5,6,6,5
6,6,5,5,5
4,5,6,5,5
6,4,5,6,5
6,5,4,5,5
4,4,5,6,5
5,6,5,5,5
7,5,5,5,5
6,7,6,6,6
7,6,6,6,6
7,5,6,6,6
6,5,6,7,6
6,6,6,7,6
6,6,7,6,6
8,6,6,5,6
8,7,6,6,6
4,6,6,6,6
6,5,5,6,6
6,6,5,6,6
5,4,6,6,6
8,5,6,6,6
6,5,6,6,6
6,6,5,6,6
6,6,6,6,6
6,5,6,6,6
6,5,5,6,6
5,6,6,6,6
5,4,6,7,6
5,5,6,7,6
6,6,6,6,6
7,6,6,6,6
7,9,6,5,6
6,6,7,7,6
7,7,6,6,6
7,7,6,5,6
5,4,6,6,6
6,5,6,6,6
7,7,6,6,6
5,5,6,6,6
7,6,5,6,6
5,5,6,6,6
5,6,5,6,6
7,6,7,6,7
7,8,6,7,7
8,6,6,7,7
7,7,7,7,7
6,8,5,5,7
8,8,6,7,7
7,6,6,6,7
8,9,5,6,7
8,7,7,6,7
6,5,5,7,7
8,7,6,7,7
7,6,6,7,7
8,8,7,6,7
8,8,5,6,7
8,6,6,7,7
8,8,7,6,7
8,8,7,8,9
7,7,7,7,8
7,6,6,7,8
9,7,7,7,8
8,7,7,7,8
